BinBase.name	BB.id	PubChem	KEGG	InChI.Key	BinBasename_R
serine	25	5951	C00065	MTCFGRXMJLQNBG-REOHCLBHSA-N	serine
ribose	1662	5779	C00121	HMFHBZSHGGEWLO-SOOFDHNKSA-N	ribose
pyrrole-2-carboxylic acid	483	12473	C05942	WRHZVMBBRYBTKZ-UHFFFAOYSA-N	pyrrole.2.carboxylic.acid
putrescine	21703	1045	C00138	KIDHWZJUCRJVML-UHFFFAOYSA-N	putrescine
piperidone	34023	12665	NA	XUWHAWMETYGRKB-UHFFFAOYSA-N	piperidone
pinitol	16544	164619	C03844	DSCFFEYYQKSRSV-FEPQRWDDSA-N	pinitol
phosphoethanolamine	1723	1015	C00346	SUHOOTKUPISOBE-UHFFFAOYSA-N	phosphoethanolamine
phosphate	4	1004	C00009	NBIIXXVUZAFLBC-UHFFFAOYSA-N	phosphate
phenylethylamine	2005	1001	C05332	BHHGXPLMPWCGHP-UHFFFAOYSA-N	phenylethylamine
phenylalanine	33	6140	C00079	COLNVLDHVKWLRT-QMMMGPOBSA-N	phenylalanine
pentadecanoic acid	1680	13849	C16537	WQEPLUUGTLDZJY-UHFFFAOYSA-N	pentadecanoic.acid
pelargonic acid	50	8158	C01601	FBUKVWPVBMHYJY-UHFFFAOYSA-N	pelargonic.acid
palmitoleic acid	96	445638	C08362	SECPZKHBENQXJG-FPLPWBNLSA-N	palmitoleic.acid
palmitic acid	11	985	C00249	IPCSVZSSVZVIGE-UHFFFAOYSA-N	palmitic.acid
oxoproline	10	7405	C01879	ODHCTXKNWHHXJC-VKHMYHEASA-N	oxoproline
ornithine	171971	88747248	C00077	AHLPHDHHMVZTML-BYPYZUCNSA-N	ornithine
oleic acid	43	445639	C00712	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	oleic.acid
octadecanol	997	8221	NA	GLDOVTGHNKAZLK-UHFFFAOYSA-N	octadecanol
nonadecanoic acid	46258	12591	C16535	ISYWECDDZWTKFF-UHFFFAOYSA-N	nonadecanoic.acid
nicotinic acid	4939	938	C00253	PVNIIMVLHYAWGP-UHFFFAOYSA-N	nicotinic.acid
myristic acid	127	11005	C06424	TUNFSRHWOTWDNC-UHFFFAOYSA-N	myristic.acid
myo-inositol	1741	892	C00137	CDAISMWEOUEBRE-UHFFFAOYSA-N	myo.inositol
methionine sulfoxide	1678	158980	C02989	QEFRNWWLZKMPFJ-YGVKFDHGSA-N	methionine.sulfoxide
methionine minor	299	NA	NA	NA	methionine.minor
methionine	45	6137	C00073	FFEARJCKVFRZRR-BYPYZUCNSA-N	methionine
mannitol	17883	6251	C00392	FBPFZTCFMRRESA-KVTDHHQDSA-N	mannitol
maltotriose	84521	439586	C01835	FYGDTMLNYKFZSV-DZOUCCHMSA-N	maltotriose
maltose	1979	439186	C00208	GUBGYTABKSRVRQ-PICCSMPSSA-N	maltose
lyxitol	233	439255	C00532	HEBKCHPVOIAQTA-IMJSIDKUSA-N	lyxitol
lysine	12	5962	C00047	KDXKERNSBIXSRK-YFKPBYRVSA-N	lysine
linoleic acid	165	5280450	C01595	OYHQOLUKZRVURQ-HZJYTTRNSA-N	linoleic.acid
lignoceric acid	104210	11197	C08320	QZZGJDVWLFXDLK-UHFFFAOYSA-N	lignoceric.acid
leucine	9	6106	C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N	leucine
lauric acid	49	3893	C02679	POULHZVOKOAJMA-UHFFFAOYSA-N	lauric.acid
lactulose	6432	11333	C07064	JCQLYHFGKNRPGE-FCVZTGTOSA-N	lactulose
lactose	4771	440995	C00243	GUBGYTABKSRVRQ-QKKXKWKRSA-N	lactose
lactitol	62247	157355	C13542	VQHSOMBJVWLPSR-JVCRWLNRSA-N	lactitol
lactic acid	46123	612	C01432	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	lactic.acid
isoribose	3252	10975657	NA	SRBFZHDQGSBBOR-SOOFDHNKSA-N	isoribose
isomaltose	127715	439193	C00252	DLRVVLDZNNYCBX-RTPHMHGBSA-N	isomaltose
isoleucine	15	6306	C00407	AGPKZVBTJJNPAG-WHFBIAKZSA-N	isoleucine
isoheptadecanoic acid NIST	46259	164860	NA	IIUXHTGBZYEGHI-UHFFFAOYSA-N	isoheptadecanoic.acid.NIST
isobutene glycol NIST	40442	68410	NA	BTVWZWFKMIUSGS-UHFFFAOYSA-N	isobutene.glycol.NIST
inosine	84524	6021	C00294	UGQMRVRMYYASKQ-KQYNXXCUSA-N	inosine
hydroxylamine	170785	787	C00192	AVXURJPOCDRRFD-UHFFFAOYSA-N	hydroxylamine
hydroxycarbamate NIST	130396	16639161	NA	DRAJWRKLRBNJRQ-UHFFFAOYSA-M	hydroxycarbamate.NIST
hexuronic acid	4554	152867	NA	IAJILQKETJEXLJ-UHFFFAOYSA-N	hexuronic.acid
hexitol	255	453	C00392	FBPFZTCFMRRESA-UHFFFAOYSA-N	hexitol
hexadecylglycerol NIST	100721	72733	C13859	OOWQBDFWEXAXPB-UHFFFAOYSA-N	hexadecylglycerol.NIST
hexadecane	120765	11006	NA	DCAYPVUWAIABOU-UHFFFAOYSA-N	hexadecane
heptadecanoic acid	727	10465	NA	KEMQGTRYUADPNZ-UHFFFAOYSA-N	heptadecanoic.acid
guanosine	1966	6802	C00387	NYHBQMYGNKIUIF-UUOKFMHZSA-N	guanosine
glycyl proline	18496	3013625	NA	KZNQNBZMBZJQJO-YFKPBYRVSA-N	glycyl.proline
glycolic acid	34086	757	C00160	AEMRFAOFKBGASW-UHFFFAOYSA-N	glycolic.acid
glycine	6	750	C00037	DHMQDGOQFOQNFH-UHFFFAOYSA-N	glycine
glycerol-alpha-phosphate	1687	754	C03189	AWUCVROLDVIAJX-UHFFFAOYSA-N	glycerol.alpha.phosphate
glycerol	30	753	C00116	PEDCQBHIVMGVHV-UHFFFAOYSA-N	glycerol
glyceric acid	48	439194	C00258	RBNPOMFGQQGHHO-UWTATZPHSA-N	glyceric.acid
glutaric acid	16952	743	C00489	JFCQEDHGNNZCLN-UHFFFAOYSA-N	glutaric.acid
glutamic acid	28	33032	C00025	WHUUTDBJXJRKMK-VKHMYHEASA-N	glutamic.acid
glucose-6-phosphate	308	5958	C00092	NBSCHQHZLSJFNQ-GASJEMHNSA-N	glucose.6.phosphate
glucose	22	64689	C00221	WQZGKKKJIJFFOK-VFUOTHLCSA-N	glucose
gluconic acid	7501	6857417	C00800	RGHNJXZEOKUKBD-QTBDOELSSA-N	gluconic.acid
galactose	16668	439357	C00984	WQZGKKKJIJFFOK-PHYPRBDBSA-N	galactose
galactonic acid	4706	128869	C00880	RGHNJXZEOKUKBD-MGCNEYSASA-N	galactonic.acid
fumaric acid	14755	444972	C00122	VZCYOOQTPOCHFL-OWOJBTEDSA-N	fumaric.acid
fucose	3009	439650	C02095	SHZGCJCMOBCMKK-FPRJBGLDSA-N	fucose
fructose-6-phosphate	6431	440641	C05345	BGWGXPAPYGQALX-ARQDHWQXSA-N	fructose.6.phosphate
fructose	21	439709	C02336	RFSUNEUAIZKAJO-ARQDHWQXSA-N	fructose
ethanolamine	3212	700	C00189	HZAXFHJVJLSVMW-UHFFFAOYSA-N	ethanolamine
ergosterol	21625	444679	C01694	DNVPQKQSNYMLRS-APGDWVJJSA-N	ergosterol
epsilon-caprolactam	3101	7768	C06593	JBKVHLHDHHXQEQ-UHFFFAOYSA-N	epsilon.caprolactam
dodecanol	12092	8193	C02277	LQZZUXJYWNFBMV-UHFFFAOYSA-N	dodecanol
dihydrocholesterol	42937	66066	C12978	QYIXCDOBOSTCEI-FBVYSKEZSA-N	dihydrocholesterol
diacetone alcohol NIST	22333	31256	NA	SWXVUIWOUIDPGS-UHFFFAOYSA-N	diacetone.alcohol.NIST
dehydroabietic acid	8917	94391	C12078	NFWKVWVWBFBAOV-MISYRCLQSA-N	dehydroabietic.acid
conduritol-beta-epoxide	2670	9989541	NA	ZHMWOVGZCINIHW-SPHYCDKFSA-N	conduritol.beta.epoxide
citrulline	1712	9750	C00327	RHGKLRLOHDJJDR-BYPYZUCNSA-N	citrulline
cis-gondoic acid	104393	5282768	C16526	BITHHVVYSMSWAG-KTKRTIGZSA-N	cis.gondoic.acid
ciliatine	62261	339	C03557	QQVDJLLNRSOCEL-UHFFFAOYSA-N	ciliatine
cholesterol NIST	183051	NA	NA	NA	cholesterol.NIST
cholesterol	19	5997	C00187	HVYWMOMLDIMFJA-DPAQBDIFSA-N	cholesterol
cerotinic acid	17982	10469	NA	XMHIUKTWLZUKEX-UHFFFAOYSA-N	cerotinic.acid
cellobiose	1373	6255	C01971	GUBGYTABKSRVRQ-QUYVBRFLSA-N	cellobiose
caprylic acid	6866	379	C06423	WWZKQHOCKIZLMA-UHFFFAOYSA-N	caprylic.acid
capric acid	726	2969	C01571	GHVNFZFCNZKVNT-UHFFFAOYSA-N	capric.acid
butyrolactam NIST	2047	12025	NA	HNJBEVLQSNELDL-UHFFFAOYSA-N	butyrolactam.NIST
beta-sitosterol	3174	222284	C01753	KZJWDPNRJALLNS-VJSFXXLFSA-N	beta.sitosterol
beta-alanine	148	239	C00099	UCMIRNVEIXFBKS-UHFFFAOYSA-N	beta.alanine
benzoic acid	36	243	C00180	WPYMKLBDIGXBTP-UHFFFAOYSA-N	benzoic.acid
behenic acid	46315	8215	C08281	UKMSUNONTOPOIO-UHFFFAOYSA-N	behenic.acid
aspartic acid	79	5960	C00049	CKLJMWTZIZZHCS-REOHCLBHSA-N	aspartic.acid
arachidonic acid	64589	444899	C00219	YZXBAPSDXZZRGB-DOFZRALJSA-N	arachidonic.acid
arachidic acid	291	10467	C06425	VKOBVWXKNCXXDE-UHFFFAOYSA-N	arachidic.acid
alanine	18223	5950	C00041	QNAYBMKLOCPYGJ-REOHCLBHSA-N	alanine
adenosine	290	60961	C00212	OIRDTQYFTABQOQ-KQYNXXCUSA-N	adenosine
adenine	1764	190	C00147	GFFGJBXGBJISGV-UHFFFAOYSA-N	adenine
5-methoxytryptamine	284	1833	C05659	JTEJPPKMYBDEMY-UHFFFAOYSA-N	X5.methoxytryptamine
5-aminovaleric acid	1698	138	C00431	JJMDCOVWQOJGCB-UHFFFAOYSA-N	X5.aminovaleric.acid
4-hydroxybutyric acid	85123	10413	C00989	SJZRECIVHVDYJC-UHFFFAOYSA-N	X4.hydroxybutyric.acid
4-aminobutyric acid	1842	119	C00334	BTCSSZJGUNDROE-UHFFFAOYSA-N	X4.aminobutyric.acid
4',5-dihydroxy-7-glucosyloxyflavanone	134959	92794	C09099	DLIKSSGEMUFQOK-SFTVRKLSSA-N	X4..5.dihydroxy.7.glucosyloxyflavanone
2-ketoadipic acid	106429	71	C00322	FGSBNBBHOZHUBO-UHFFFAOYSA-N	X2.ketoadipic.acid
2-hydroxypyrazinyl-2-propenoic acid ethyl ester NIST	62821	5371086	NA	WFZVBCSNPDDHDI-FNORWQNLSA-N	X2.hydroxypyrazinyl.2.propenoic.acid.ethyl.ester.NIST
1-monostearin	648	24699	D01947	VBICKXHEKHSIBG-UHFFFAOYSA-N	X1.monostearin
1-monopalmitin	2070	14900	C01885	QHZLMUACJMDIAE-UHFFFAOYSA-N	X1.monopalmitin
1-hexadecanol	16713	2682	C00823	BXWNKGSJHAJOGX-UHFFFAOYSA-N	X1.hexadecanol
1,3,5-trimethylcyanuric acid	125664	NA	NA	AHWDQDMGFXRVFB-UHFFFAOYSA-N	X1.3.5.trimethylcyanuric.acid
1,2,4-benzenetriol	26704	10787	C02814	GGNQRNBDZQJCCN-UHFFFAOYSA-N	X1.2.4.benzenetriol
322548	322548	NA	NA	NA	X322548
322525	322525	NA	NA	NA	X322525
322524	322524	NA	NA	NA	X322524
322432	322432	NA	NA	NA	X322432
322429	322429	NA	NA	NA	X322429
322417	322417	NA	NA	NA	X322417
322414	322414	NA	NA	NA	X322414
322371	322371	NA	NA	NA	X322371
322219	322219	NA	NA	NA	X322219
321130	321130	NA	NA	NA	X321130
318795	318795	NA	NA	NA	X318795
318782	318782	NA	NA	NA	X318782
316060	316060	NA	NA	NA	X316060
253863	253863	NA	NA	NA	X253863
253514	253514	NA	NA	NA	X253514
253093	253093	NA	NA	NA	X253093
251689	251689	NA	NA	NA	X251689
249106	249106	NA	NA	NA	X249106
247758	247758	NA	NA	NA	X247758
247669	247669	NA	NA	NA	X247669
242849	242849	NA	NA	NA	X242849
241684	241684	NA	NA	NA	X241684
241681	241681	NA	NA	NA	X241681
241618	241618	NA	NA	NA	X241618
241399	241399	NA	NA	NA	X241399
241383	241383	NA	NA	NA	X241383
241382	241382	NA	NA	NA	X241382
241374	241374	NA	NA	NA	X241374
241360	241360	NA	NA	NA	X241360
241312	241312	NA	NA	NA	X241312
241301	241301	NA	NA	NA	X241301
240085	240085	NA	NA	NA	X240085
240078	240078	NA	NA	NA	X240078
240058	240058	NA	NA	NA	X240058
240027	240027	NA	NA	NA	X240027
239377	239377	NA	NA	NA	X239377
239368	239368	NA	NA	NA	X239368
239337	239337	NA	NA	NA	X239337
239325	239325	NA	NA	NA	X239325
239316	239316	NA	NA	NA	X239316
239314	239314	NA	NA	NA	X239314
239311	239311	NA	NA	NA	X239311
239310	239310	NA	NA	NA	X239310
239300	239300	NA	NA	NA	X239300
237709	237709	NA	NA	NA	X237709
237707	237707	NA	NA	NA	X237707
237703	237703	NA	NA	NA	X237703
236851	236851	NA	NA	NA	X236851
236845	236845	NA	NA	NA	X236845
236822	236822	NA	NA	NA	X236822
236816	236816	NA	NA	NA	X236816
234496	234496	NA	NA	NA	X234496
229935	229935	NA	NA	NA	X229935
229167	229167	NA	NA	NA	X229167
228133	228133	NA	NA	NA	X228133
228119	228119	NA	NA	NA	X228119
225305	225305	NA	NA	NA	X225305
224091	224091	NA	NA	NA	X224091
223222	223222	NA	NA	NA	X223222
220689	220689	NA	NA	NA	X220689
216585	216585	NA	NA	NA	X216585
215929	215929	NA	NA	NA	X215929
214058	214058	NA	NA	NA	X214058
213180	213180	NA	NA	NA	X213180
210658	210658	NA	NA	NA	X210658
210363	210363	NA	NA	NA	X210363
210327	210327	NA	NA	NA	X210327
210313	210313	NA	NA	NA	X210313
210272	210272	NA	NA	NA	X210272
209686	209686	NA	NA	NA	X209686
209685	209685	NA	NA	NA	X209685
209178	209178	NA	NA	NA	X209178
209177	209177	NA	NA	NA	X209177
209176	209176	NA	NA	NA	X209176
209175	209175	NA	NA	NA	X209175
209167	209167	NA	NA	NA	X209167
208646	208646	NA	NA	NA	X208646
204741	204741	NA	NA	NA	X204741
203819	203819	NA	NA	NA	X203819
203807	203807	NA	NA	NA	X203807
191804	191804	NA	NA	NA	X191804
183433	183433	NA	NA	NA	X183433
183282	183282	NA	NA	NA	X183282
183271	183271	NA	NA	NA	X183271
183174	183174	NA	NA	NA	X183174
183134	183134	NA	NA	NA	X183134
183063	183063	NA	NA	NA	X183063
172624	172624	NA	NA	NA	X172624
172164	172164	NA	NA	NA	X172164
171968	171968	NA	NA	NA	X171968
171590	171590	NA	NA	NA	X171590
171305	171305	NA	NA	NA	X171305
171286	171286	NA	NA	NA	X171286
170841	170841	NA	NA	NA	X170841
170783	170783	NA	NA	NA	X170783
170272	170272	NA	NA	NA	X170272
170242	170242	NA	NA	NA	X170242
169627	169627	NA	NA	NA	X169627
169614	169614	NA	NA	NA	X169614
169611	169611	NA	NA	NA	X169611
169610	169610	NA	NA	NA	X169610
168881	168881	NA	NA	NA	X168881
168878	168878	NA	NA	NA	X168878
168861	168861	NA	NA	NA	X168861
168779	168779	NA	NA	NA	X168779
168766	168766	NA	NA	NA	X168766
163575	163575	NA	NA	NA	X163575
161878	161878	NA	NA	NA	X161878
161875	161875	NA	NA	NA	X161875
161404	161404	NA	NA	NA	X161404
161397	161397	NA	NA	NA	X161397
161372	161372	NA	NA	NA	X161372
146921	146921	NA	NA	NA	X146921
146671	146671	NA	NA	NA	X146671
146001	146001	NA	NA	NA	X146001
135763	135763	NA	NA	NA	X135763
134760	134760	NA	NA	NA	X134760
134365	134365	NA	NA	NA	X134365
134312	134312	NA	NA	NA	X134312
133778	133778	NA	NA	NA	X133778
133374	133374	NA	NA	NA	X133374
133324	133324	NA	NA	NA	X133324
133242	133242	NA	NA	NA	X133242
132976	132976	NA	NA	NA	X132976
131732	131732	NA	NA	NA	X131732
131168	131168	NA	NA	NA	X131168
130478	130478	NA	NA	NA	X130478
130466	130466	NA	NA	NA	X130466
128024	128024	NA	NA	NA	X128024
127730	127730	NA	NA	NA	X127730
127661	127661	NA	NA	NA	X127661
127640	127640	NA	NA	NA	X127640
127444	127444	NA	NA	NA	X127444
126423	126423	NA	NA	NA	X126423
126350	126350	NA	NA	NA	X126350
124996	124996	NA	NA	NA	X124996
124960	124960	NA	NA	NA	X124960
124880	124880	NA	NA	NA	X124880
124283	124283	NA	NA	NA	X124283
122191	122191	NA	NA	NA	X122191
122151	122151	NA	NA	NA	X122151
121402	121402	NA	NA	NA	X121402
121342	121342	NA	NA	NA	X121342
121002	121002	NA	NA	NA	X121002
120781	120781	NA	NA	NA	X120781
120744	120744	NA	NA	NA	X120744
120526	120526	NA	NA	NA	X120526
119066	119066	NA	NA	NA	X119066
118667	118667	NA	NA	NA	X118667
112501	112501	NA	NA	NA	X112501
111830	111830	NA	NA	NA	X111830
111076	111076	NA	NA	NA	X111076
110604	110604	NA	NA	NA	X110604
110411	110411	NA	NA	NA	X110411
110363	110363	NA	NA	NA	X110363
110343	110343	NA	NA	NA	X110343
110265	110265	NA	NA	NA	X110265
107050	107050	NA	NA	NA	X107050
106427	106427	NA	NA	NA	X106427
105450	105450	NA	NA	NA	X105450
104417	104417	NA	NA	NA	X104417
103102	103102	NA	NA	NA	X103102
102978	102978	NA	NA	NA	X102978
102662	102662	NA	NA	NA	X102662
102248	102248	NA	NA	NA	X102248
101742	101742	NA	NA	NA	X101742
97748	97748	NA	NA	NA	X97748
95463	95463	NA	NA	NA	X95463
95461	95461	NA	NA	NA	X95461
87877	87877	NA	NA	NA	X87877
85120	85120	NA	NA	NA	X85120
85118	85118	NA	NA	NA	X85118
84382	84382	NA	NA	NA	X84382
84216	84216	NA	NA	NA	X84216
84211	84211	NA	NA	NA	X84211
84200	84200	NA	NA	NA	X84200
84187	84187	NA	NA	NA	X84187
84161	84161	NA	NA	NA	X84161
66612	66612	NA	NA	NA	X66612
66367	66367	NA	NA	NA	X66367
64546	64546	NA	NA	NA	X64546
62766	62766	NA	NA	NA	X62766
62253	62253	NA	NA	NA	X62253
56712	56712	NA	NA	NA	X56712
53737	53737	NA	NA	NA	X53737
52874	52874	NA	NA	NA	X52874
52854	52854	NA	NA	NA	X52854
52007	52007	NA	NA	NA	X52007
50506	50506	NA	NA	NA	X50506
49404	49404	NA	NA	NA	X49404
49400	49400	NA	NA	NA	X49400
48597	48597	NA	NA	NA	X48597
48466	48466	NA	NA	NA	X48466
48460	48460	NA	NA	NA	X48460
47358	47358	NA	NA	NA	X47358
47348	47348	NA	NA	NA	X47348
47206	47206	NA	NA	NA	X47206
47197	47197	NA	NA	NA	X47197
47170	47170	NA	NA	NA	X47170
46413	46413	NA	NA	NA	X46413
46346	46346	NA	NA	NA	X46346
46281	46281	NA	NA	NA	X46281
46173	46173	NA	NA	NA	X46173
46155	46155	NA	NA	NA	X46155
46143	46143	NA	NA	NA	X46143
46128	46128	NA	NA	NA	X46128
45378	45378	NA	NA	NA	X45378
44175	44175	NA	NA	NA	X44175
43734	43734	NA	NA	NA	X43734
43580	43580	NA	NA	NA	X43580
42529	42529	NA	NA	NA	X42529
42357	42357	NA	NA	NA	X42357
42016	42016	NA	NA	NA	X42016
41985	41985	NA	NA	NA	X41985
41892	41892	NA	NA	NA	X41892
41882	41882	NA	NA	NA	X41882
41880	41880	NA	NA	NA	X41880
41862	41862	NA	NA	NA	X41862
41836	41836	NA	NA	NA	X41836
41811	41811	NA	NA	NA	X41811
41808	41808	NA	NA	NA	X41808
41805	41805	NA	NA	NA	X41805
40541	40541	NA	NA	NA	X40541
34451	34451	NA	NA	NA	X34451
33387	33387	NA	NA	NA	X33387
31695	31695	NA	NA	NA	X31695
31460	31460	NA	NA	NA	X31460
31408	31408	NA	NA	NA	X31408
31359	31359	NA	NA	NA	X31359
31357	31357	NA	NA	NA	X31357
31338	31338	NA	NA	NA	X31338
31285	31285	NA	NA	NA	X31285
31273	31273	NA	NA	NA	X31273
31267	31267	NA	NA	NA	X31267
31223	31223	NA	NA	NA	X31223
29926	29926	NA	NA	NA	X29926
26987	26987	NA	NA	NA	X26987
26918	26918	NA	NA	NA	X26918
26916	26916	NA	NA	NA	X26916
26868	26868	NA	NA	NA	X26868
23170	23170	NA	NA	NA	X23170
22863	22863	NA	NA	NA	X22863
22363	22363	NA	NA	NA	X22363
21763	21763	NA	NA	NA	X21763
21682	21682	NA	NA	NA	X21682
21666	21666	NA	NA	NA	X21666
21665	21665	NA	NA	NA	X21665
21664	21664	NA	NA	NA	X21664
20282	20282	NA	NA	NA	X20282
18386	18386	NA	NA	NA	X18386
18305	18305	NA	NA	NA	X18305
18282	18282	NA	NA	NA	X18282
18225	18225	NA	NA	NA	X18225
18168	18168	NA	NA	NA	X18168
18167	18167	NA	NA	NA	X18167
17909	17909	NA	NA	NA	X17909
17651	17651	NA	NA	NA	X17651
17434	17434	NA	NA	NA	X17434
17250	17250	NA	NA	NA	X17250
17245	17245	NA	NA	NA	X17245
17225	17225	NA	NA	NA	X17225
17183	17183	NA	NA	NA	X17183
16923	16923	NA	NA	NA	X16923
16777	16777	NA	NA	NA	X16777
16747	16747	NA	NA	NA	X16747
14697	14697	NA	NA	NA	X14697
14688	14688	NA	NA	NA	X14688
8647	8647	NA	NA	NA	X8647
7458	7458	NA	NA	NA	X7458
6802	6802	NA	NA	NA	X6802
6353	6353	NA	NA	NA	X6353
5990	5990	NA	NA	NA	X5990
5679	5679	NA	NA	NA	X5679
5483	5483	NA	NA	NA	X5483
5471	5471	NA	NA	NA	X5471
5346	5346	NA	NA	NA	X5346
5245	5245	NA	NA	NA	X5245
5244	5244	NA	NA	NA	X5244
4942	4942	NA	NA	NA	X4942
4937	4937	NA	NA	NA	X4937
4930	4930	NA	NA	NA	X4930
4550	4550	NA	NA	NA	X4550
4534	4534	NA	NA	NA	X4534
4361	4361	NA	NA	NA	X4361
4263	4263	NA	NA	NA	X4263
4086	4086	NA	NA	NA	X4086
3772	3772	NA	NA	NA	X3772
3329	3329	NA	NA	NA	X3329
3258	3258	NA	NA	NA	X3258
3228	3228	NA	NA	NA	X3228
3220	3220	NA	NA	NA	X3220
3204	3204	NA	NA	NA	X3204
3194	3194	NA	NA	NA	X3194
3189	3189	NA	NA	NA	X3189
3188	3188	NA	NA	NA	X3188
3143	3143	NA	NA	NA	X3143
3122	3122	NA	NA	NA	X3122
2706	2706	NA	NA	NA	X2706
2674	2674	NA	NA	NA	X2674
2575	2575	NA	NA	NA	X2575
2476	2476	NA	NA	NA	X2476
2403	2403	NA	NA	NA	X2403
2260	2260	NA	NA	NA	X2260
2089	2089	NA	NA	NA	X2089
2030	2030	NA	NA	NA	X2030
2023	2023	NA	NA	NA	X2023
2017	2017	NA	NA	NA	X2017
2001	2001	NA	NA	NA	X2001
1996	1996	NA	NA	NA	X1996
1922	1922	NA	NA	NA	X1922
1912	1912	NA	NA	NA	X1912
1909	1909	NA	NA	NA	X1909
1878	1878	NA	NA	NA	X1878
1875	1875	NA	NA	NA	X1875
1872	1872	NA	NA	NA	X1872
1815	1815	NA	NA	NA	X1815
1789	1789	NA	NA	NA	X1789
1725	1725	NA	NA	NA	X1725
1704	1704	NA	NA	NA	X1704
1700	1700	NA	NA	NA	X1700
1675	1675	NA	NA	NA	X1675
1661	1661	NA	NA	NA	X1661
1064	1064	NA	NA	NA	X1064
889	889	NA	NA	NA	X889
490	490	NA	NA	NA	X490
307	307	NA	NA	NA	X307
257	257	NA	NA	NA	X257
228	228	NA	NA	NA	X228
168	168	NA	NA	NA	X168
137	137	NA	NA	NA	X137
134	134	NA	NA	NA	X134
54	54	NA	NA	NA	X54
47	47	NA	NA	NA	X47
39	39	NA	NA	NA	X39
