MOATS,ID,----,D,L,M,2L,LL,Jar,Target_Treatment,Treatment_abbv
5,M5_B6,NA,NA,10,NA,NA,NA,B6,pH_7.55_DO_9.32,LH
5,M5_B7,1,1,8,NA,NA,NA,B7,pH_7.55_DO_9.32,LH
5,M5_C1,NA,NA,10,NA,NA,NA,C1,pH_7.55_DO_9.32,LH
5,M5_C2,NA,NA,10,NA,NA,NA,C2,pH_7.55_DO_9.32,LH
5,M5_C3,1,1,8,NA,NA,NA,C3,pH_7.55_DO_9.32,LH
5,M5_C4,NA,1,9,NA,NA,NA,C4,pH_7.55_DO_9.32,LH
5,M5_C5,NA,NA,10,NA,NA,NA,C5,pH_7.55_DO_9.32,LH
5,M5_C7,NA,NA,10,NA,NA,NA,C7,pH_7.55_DO_9.32,LH
5,M5_D1,NA,NA,10,NA,NA,NA,D1,pH_7.55_DO_9.32,LH
5,M5_D2,NA,NA,10,NA,NA,NA,D2,pH_7.55_DO_9.32,LH
5,M5_D3,2,1,7,NA,NA,NA,D3,pH_7.55_DO_9.32,LH
5,M5_D4,NA,NA,10,NA,NA,NA,D4,pH_7.55_DO_9.32,LH
5,M5_D5,NA,1,9,NA,NA,NA,D5,pH_7.55_DO_9.32,LH
5,M5_D6,6,1,3,NA,NA,NA,D6,pH_7.55_DO_9.32,LH
5,M5_D7,NA,NA,10,NA,NA,NA,D7,pH_7.55_DO_9.32,LH
6,M6_A1,NA,NA,10,NA,NA,NA,A1,pH_7.95_DO_3.73,HL
6,M6_A2,NA,NA,10,NA,NA,NA,A2,pH_7.95_DO_3.73,HL
6,M6_A3,NA,NA,10,NA,NA,NA,A3,pH_7.95_DO_3.73,HL
6,M6_A5,1,1,8,NA,NA,NA,A5,pH_7.95_DO_3.73,HL
6,M6_A6,NA,NA,10,NA,NA,NA,A6,pH_7.95_DO_3.73,HL
6,M6_A7,4,1,5,NA,NA,NA,A7,pH_7.95_DO_3.73,HL
6,M6_B1,1,1,8,NA,NA,NA,B1,pH_7.95_DO_3.73,HL
6,M6_B2,NA,NA,10,NA,NA,NA,B2,pH_7.95_DO_3.73,HL
6,M6_B3,NA,NA,10,NA,NA,NA,B3,pH_7.95_DO_3.73,HL
6,M6_B4,NA,NA,10,NA,NA,NA,B4,pH_7.95_DO_3.73,HL
6,M6_B5,NA,1,9,NA,NA,NA,B5,pH_7.95_DO_3.73,HL
6,M6_B6,NA,NA,10,NA,NA,NA,B6,pH_7.95_DO_3.73,HL
6,M6_B7,NA,NA,10,NA,NA,NA,B7,pH_7.95_DO_3.73,HL
6,M6_C1,NA,1,9,NA,NA,NA,C1,pH_7.95_DO_3.73,HL
6,M6_C2,6,1,3,NA,NA,NA,C2,pH_7.95_DO_3.73,HL
6,M6_C3,NA,NA,10,NA,NA,NA,C3,pH_7.95_DO_3.73,HL
6,M6_C4,NA,NA,10,NA,NA,NA,C4,pH_7.95_DO_3.73,HL
6,M6_C5,1,1,8,NA,NA,NA,C5,pH_7.95_DO_3.73,HL
6,M6_C6,NA,NA,10,NA,NA,NA,C6,pH_7.95_DO_3.73,HL
6,M6_C7,NA,NA,10,NA,NA,NA,C7,pH_7.95_DO_3.73,HL
6,M6_D1,1,1,8,NA,NA,NA,D1,pH_7.95_DO_3.73,HL
6,M6_D2,NA,NA,10,NA,NA,NA,D2,pH_7.95_DO_3.73,HL
6,M6_D3,NA,1,9,NA,NA,NA,D3,pH_7.95_DO_3.73,HL
6,M6_D4,NA,NA,10,NA,NA,NA,D4,pH_7.95_DO_3.73,HL
6,M6_D5,NA,NA,10,NA,NA,NA,D5,pH_7.95_DO_3.73,HL
6,M6_D6,6,1,3,NA,NA,NA,D6,pH_7.95_DO_3.73,HL
7,M7_A1,NA,NA,10,NA,NA,NA,A1,pH_7.95_DO_9.32,HH
7,M7_A2,NA,NA,10,NA,NA,NA,A2,pH_7.95_DO_9.32,HH
7,M7_A3,NA,NA,10,NA,NA,NA,A3,pH_7.95_DO_9.32,HH
7,M7_A4,NA,NA,10,NA,NA,NA,A4,pH_7.95_DO_9.32,HH
7,M7_A5,NA,NA,10,NA,NA,NA,A5,pH_7.95_DO_9.32,HH
7,M7_A6,NA,NA,10,NA,NA,NA,A6,pH_7.95_DO_9.32,HH
7,M7_A7,NA,NA,10,NA,NA,NA,A7,pH_7.95_DO_9.32,HH
7,M7_B1,1,1,8,NA,NA,NA,B1,pH_7.95_DO_9.32,HH
7,M7_B2,NA,NA,10,NA,NA,NA,B2,pH_7.95_DO_9.32,HH
7,M7_B3,4,1,5,NA,NA,NA,B3,pH_7.95_DO_9.32,HH
7,M7_B4,NA,1,9,NA,NA,NA,B4,pH_7.95_DO_9.32,HH
7,M7_B5,NA,NA,10,NA,NA,NA,B5,pH_7.95_DO_9.32,HH
7,M7_B6,1,1,8,NA,NA,NA,B6,pH_7.95_DO_9.32,HH
7,M7_B7,4,1,5,NA,NA,NA,B7,pH_7.95_DO_9.32,HH
7,M7_C1,NA,1,9,NA,NA,NA,C1,pH_7.95_DO_9.32,HH
7,M7_C2,NA,NA,10,NA,NA,NA,C2,pH_7.95_DO_9.32,HH
7,M7_C3,3,1,6,NA,NA,NA,C3,pH_7.95_DO_9.32,HH
7,M7_C4,NA,1,9,NA,NA,NA,C4,pH_7.95_DO_9.32,HH
7,M7_C5,NA,NA,10,NA,NA,NA,C5,pH_7.95_DO_9.32,HH
7,M7_C6,NA,NA,10,NA,NA,NA,C6,pH_7.95_DO_9.32,HH
7,M7_C7,NA,NA,10,NA,NA,NA,C7,pH_7.95_DO_9.32,HH
7,M7_D1,NA,NA,10,NA,NA,NA,D1,pH_7.95_DO_9.32,HH
7,M7_D2,2,1,7,NA,NA,NA,D2,pH_7.95_DO_9.32,HH
7,M7_D3,6,1,3,NA,NA,NA,D3,pH_7.95_DO_9.32,HH
7,M7_D4,5,1,4,NA,NA,NA,D4,pH_7.95_DO_9.32,HH
7,M7_D5,NA,NA,10,NA,NA,NA,D5,pH_7.95_DO_9.32,HH
7,M7_D6,NA,NA,10,NA,NA,NA,D6,pH_7.95_DO_9.32,HH
7,M7_D7,NA,NA,10,NA,NA,NA,D7,pH_7.95_DO_9.32,HH
8,M8_A1,5,1,4,NA,NA,NA,A1,pH_7.55_DO_9.32,LH
8,M8_A2,2,1,7,NA,NA,NA,A2,pH_7.55_DO_9.32,LH
8,M8_A3,NA,NA,10,NA,NA,NA,A3,pH_7.55_DO_9.32,LH
8,M8_A4,NA,NA,10,NA,NA,NA,A4,pH_7.55_DO_9.32,LH
8,M8_A5,NA,NA,10,NA,NA,NA,A5,pH_7.55_DO_9.32,LH
8,M8_A6,NA,NA,10,NA,NA,NA,A6,pH_7.55_DO_9.32,LH
8,M8_A7,NA,NA,10,NA,NA,NA,A7,pH_7.55_DO_9.32,LH
8,M8_B1,NA,NA,10,NA,NA,NA,B1,pH_7.55_DO_9.32,LH
8,M8_B2,NA,NA,10,NA,NA,NA,B2,pH_7.55_DO_9.32,LH
8,M8_B3,NA,NA,10,NA,NA,NA,B3,pH_7.55_DO_9.32,LH
8,M8_B4,NA,NA,10,NA,NA,NA,B4,pH_7.55_DO_9.32,LH
8,M8_B5,NA,NA,10,NA,NA,NA,B5,pH_7.55_DO_9.32,LH
8,M8_B6,NA,NA,10,NA,NA,NA,B6,pH_7.55_DO_9.32,LH
8,M8_B7,NA,NA,10,NA,NA,NA,B7,pH_7.55_DO_9.32,LH
8,M8_C1,NA,NA,10,NA,NA,NA,C1,pH_7.55_DO_9.32,LH
8,M8_C2,2,1,7,NA,NA,NA,C2,pH_7.55_DO_9.32,LH
8,M8_C3,4,1,5,NA,NA,NA,C3,pH_7.55_DO_9.32,LH
8,M8_C4,5,1,4,NA,NA,NA,C4,pH_7.55_DO_9.32,LH
8,M8_C5,NA,1,9,NA,NA,NA,C5,pH_7.55_DO_9.32,LH
8,M8_C6,NA,NA,10,NA,NA,NA,C6,pH_7.55_DO_9.32,LH
8,M8_C7,1,1,8,NA,NA,NA,C7,pH_7.55_DO_9.32,LH
8,M8_D1,NA,NA,10,NA,NA,NA,D1,pH_7.55_DO_9.32,LH
8,M8_D2,2,1,7,NA,NA,NA,D2,pH_7.55_DO_9.32,LH
8,M8_D3,NA,NA,10,NA,NA,NA,D3,pH_7.55_DO_9.32,LH
8,M8_D4,NA,NA,10,NA,NA,NA,D4,pH_7.55_DO_9.32,LH
8,M8_D5,3,1,6,NA,NA,NA,D5,pH_7.55_DO_9.32,LH
8,M8_D6,NA,NA,10,NA,NA,NA,D6,pH_7.55_DO_9.32,LH
8,M8_D7,NA,NA,10,NA,NA,NA,D7,pH_7.55_DO_9.32,LH
