InChI.Key,PubChem,KEGG,
CITHEXJVPOWHKC-UUWRZZSWSA-N,5459377,C00157,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC
CKLJMWTZIZZHCS-REOHCLBHSA-N,5960,C00049,C([C@@H](C(=O)O)N)C(=O)O
CKPBBEOJHAPPBT-HXUWFJFHSA-N,53480922,NA,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
CNNSEHUKQJCGTE-UPPWDXJYSA-N,24778699,C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC
COLNVLDHVKWLRT-QMMMGPOBSA-N,6140,C00079,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
CZMRCDWAGMRECN-UGDNZRGBSA-N,5988,C00089,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O
DBQMOXDLWKVKKG-REWQMPQJSA-N,53480761,C00157,CCCCCC/C=C\CCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC
DCAYPVUWAIABOU-UHFFFAOYSA-N,11006,C14499,CCCCCCCCCCCCCCCC
DHMQDGOQFOQNFH-UHFFFAOYSA-N,750,C00037,C(C(=O)O)N
DLIKSSGEMUFQOK-SFTVRKLSSA-N,92794,C09099,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC=C(C=C4)O
DLRVVLDZNNYCBX-RTPHMHGBSA-N,439193,C00252,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O
DNVPQKQSNYMLRS-APGDWVJJSA-N,444679,C01694,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C
DRAJWRKLRBNJRQ-UHFFFAOYSA-M,16639161,C01563,C(=O)(NO)O
DSCFFEYYQKSRSV-FEPQRWDDSA-N,164619,C03844,COC1[C@@H]([C@H](C([C@@H]([C@@H]1O)O)O)O)O
DTOSIQBPPRVQHS-PDBXOOCHSA-N,5280934,C06427,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
DUQDVNACTOXOJA-KTKXOIIHSA-N,52924875,C00350,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN
DYDDZDMJSQYFGN-OIVUZXIWSA-N,24778771,NA,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
DZPHTQGGRSWHLG-USOCFQKQSA-N,53480884,NA,CCCCCC/C=C\CCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
FAKYQMLQEAQOLK-LHZZQLRFSA-N,53480695,C00157,CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC
FBPFZTCFMRRESA-JGWLITMVSA-N,5780,C00794,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
FBPFZTCFMRRESA-KVTDHHQDSA-N,6251,C00392,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
FBPFZTCFMRRESA-UHFFFAOYSA-N,453,C00392,C(C(C(C(C(CO)O)O)O)O)O
FBUKVWPVBMHYJY-UHFFFAOYSA-N,8158,C01601,CCCCCCCCC(=O)O
FFEARJCKVFRZRR-BYPYZUCNSA-N,6137,C00073,CSCC[C@@H](C(=O)O)N
FGSBNBBHOZHUBO-UHFFFAOYSA-N,71,C00322,C(CC(=O)C(=O)O)CC(=O)O
FYGDTMLNYKFZSV-DZOUCCHMSA-N,439586,C01835,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O
GEINPYKZLFHHIL-HEXXMCQTSA-N,52922342,C00157,CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC
GFFGJBXGBJISGV-UHFFFAOYSA-N,190,C00147,C1=NC2=NC=NC(=C2N1)N
GGNQRNBDZQJCCN-UHFFFAOYSA-N,10787,C02814,C1=CC(=C(C=C1O)O)O
GHVNFZFCNZKVNT-UHFFFAOYSA-N,2969,C01571,CCCCCCCCCC(=O)O
GLDOVTGHNKAZLK-UHFFFAOYSA-N,8221,NA,CCCCCCCCCCCCCCCCCCO
GOMVPVRDBLLHQC-VEJNOCSESA-N,53480469,C04230,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
GPWHCUUIQMGELX-VHQDNGOZSA-N,24778764,C00157,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC
GRGDLDNREYVILP-CNWVQWJYSA-N,9543784,NA,CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC
GUBGYTABKSRVRQ-PICCSMPSSA-N,439186,C00208,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O
GUBGYTABKSRVRQ-QKKXKWKRSA-N,440995,C00243,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O
GUBGYTABKSRVRQ-QUYVBRFLSA-N,6255,C01971,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O
HBZNVZIRJWODIB-NHCUFCNUSA-N,9546747,NA,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC
HCXVJBMSMIARIN-PHZDYDNGSA-N,5280794,C05442,CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
HEBKCHPVOIAQTA-IMJSIDKUSA-N,439255,C00532,C([C@@H](C([C@H](CO)O)O)O)O
HEBKCHPVOIAQTA-NGQZWQHPSA-N,6912,C00379,C([C@H](C([C@H](CO)O)O)O)O
HHQFKPJXVYWLLJ-ABYSKWQHSA-N,53480857,NA,CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC
HLIJNIKSBCIDGO-QKLMXXKVSA-N,53477895,C01290,CCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)[C@@H](/C=C/CCCCCCCCCCCCC)O
HMFHBZSHGGEWLO-SOOFDHNKSA-N,5779,C00121,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O
HNJBEVLQSNELDL-UHFFFAOYSA-N,12025,C11118,C1CC(=O)NC1
HOBAELRKJCKHQD-QNEBEIHSSA-N,5280581,C03242,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O
HVGRZDASOHMCSK-AVQMFFATSA-N,5282807,C16533,CCCCC/C=C/C/C=C/CCCCCCCCCCCC(=O)O
HVYWMOMLDIMFJA-DPAQBDIFSA-N,5997,C00187,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
HZAXFHJVJLSVMW-UHFFFAOYSA-N,700,C00189,C(CO)N
IAJILQKETJEXLJ-UHFFFAOYSA-N,152867,C08348,C(=O)C(C(C(C(C(=O)O)O)O)O)O
IIUXHTGBZYEGHI-UHFFFAOYSA-N,164860,NA,CC(C)CCCCCCCCCCCCCC(=O)O
IIZPXYDJLKNOIY-JXPKJXOSSA-N,10747814,C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
IJTJDJOOHZVSAC-NDRUHXFFSA-N,53479083,C00157,CCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C
IPCSVZSSVZVIGE-UHFFFAOYSA-N,985,C00249,CCCCCCCCCCCCCCCC(=O)O
IQFYYKKMVGJFEH-XLPZGREQSA-N,5789,C00214,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
IQSPCSIULMCRPM-ZAJUHDLGSA-N,53479831,C00350,CCCCCCCC/C=C\CCCCCC/C=C\O[C@H](COC(=O)CCCCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCCN
ISYWECDDZWTKFF-UHFFFAOYSA-N,12591,C16535,CCCCCCCCCCCCCCCCCCC(=O)O
JAZBEHYOTPTENJ-JLNKQSITSA-N,446284,C06428,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
JBKVHLHDHHXQEQ-UHFFFAOYSA-N,7768,C06593,C1CCC(=O)NCC1
JBYXPOFIGCOSSB-XBLVEGMJSA-N,5280644,C01595,CCCCCC/C=C/C=C\CCCCCCCC(=O)O
JCQLYHFGKNRPGE-FCVZTGTOSA-N,11333,C07064,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O
JFCQEDHGNNZCLN-UHFFFAOYSA-N,743,C00489,C(CC(=O)O)CC(=O)O
JJMDCOVWQOJGCB-UHFFFAOYSA-N,138,C00431,C(CCN)CC(=O)O
JLPULHDHAOZNQI-ZTIMHPMXSA-N,5287971,C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC
JPIJQSOTBSSVTP-STHAYSLISA-N,5460407,C01620,C([C@@H]([C@H](C(=O)O)O)O)O
JPNPIRVRGLGTRE-YSKCIPFOSA-N,53480952,NA,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O
JTEJPPKMYBDEMY-UHFFFAOYSA-N,1833,C05659,COC1=CC2=C(C=C1)NC=C2CCN
JVTAAEKCZFNVCJ-UHFFFAOYSA-N,612,C01432,CC(C(=O)O)O
JXOHGGNKMLTUBP-HSUXUTPPSA-N,8742,C00493,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O
KCNBSSYOJRUKOM-JALPNNRCSA-N,52925089,NA,CCCCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC
KDXKERNSBIXSRK-YFKPBYRVSA-N,5962,C00047,C(CCN)C[C@@H](C(=O)O)N
KDYFGRWQOYBRFD-UHFFFAOYSA-N,1110,C00042,C(CC(=O)O)C(=O)O
KEMQGTRYUADPNZ-UHFFFAOYSA-N,10465,NA,CCCCCCCCCCCCCCCCC(=O)O
KEVGQWGZKKFGDC-JCUPVDEDSA-N,53478671,NA,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O/C=C\CCCCCCCCCCCCCC
KIDHWZJUCRJVML-UHFFFAOYSA-N,1045,C00138,C(CCN)CN
KILNVBDSWZSGLL-KXQOOQHDSA-N,452110,C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC
KZJWDPNRJALLNS-VJSFXXLFSA-N,222284,C01753,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C
KZNQNBZMBZJQJO-YFKPBYRVSA-N,3013625,NA,C1C[C@H](N(C1)C(=O)CN)C(=O)O
KZSNJWFQEVHDMF-BYPYZUCNSA-N,6287,C00183,CC(C)[C@@H](C(=O)O)N
KZSXWBSDQDXESU-PPEVQBTRSA-N,52923579,C00157,CCCCC/C=C\C/C=C\CCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC
LFGBKOUQHCWBQI-BZGLIJSBSA-N,52924893,C00350,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
LFTYTUAZOPRMMI-CFRASDGPSA-N,445675,C00043,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O
LFUDDCMNKWEORN-ZXEGGCGDSA-N,24779461,C04230,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
LKDRXBCSQODPBY-OEXCPVAWSA-N,439312,C00795,C1[C@H]([C@@H]([C@@H](C(O1)(CO)O)O)O)O
LQZZUXJYWNFBMV-UHFFFAOYSA-N,8193,C02277,CCCCCCCCCCCCO
LSOWKZULVQWMLY-APPDJCNMSA-N,10415542,C04230,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
MBMBGCFOFBJSGT-KUBAVDMBSA-N,445580,C06429,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
MBRHHFWRXQYYAN-RTVLTNFHSA-N,53480735,C00157,CCCCCCCCCCCCCCCC(=O)OC(CO/C=C\CCCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C
MDRFMTLYKHBJTF-NQYLGBTJSA-N,52931179,C00550,CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCC/C=C\CCCCCCCC)O
MTCFGRXMJLQNBG-REOHCLBHSA-N,5951,C00065,C([C@@H](C(=O)O)N)O
NBEADXWAAWCCDG-QDDWGVBQSA-N,6443882,C00550,CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCC/C=C\CCCCCCCC)O
NBIIXXVUZAFLBC-UHFFFAOYSA-N,1004,C00009,OP(=O)(O)O
NBSCHQHZLSJFNQ-GASJEMHNSA-N,5958,C00092,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O
NFWKVWVWBFBAOV-MISYRCLQSA-N,94391,C12078,CC(C)C1=CC2=C(C=C1)[C@]3(CCC[C@@]([C@@H]3CC2)(C)C(=O)O)C
NKQPOVROGSWLTO-NVPMBMBWSA-N,52922783,C00157,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C
NPGWXTIWUUFYAB-DIPNUNPCSA-N,24778680,C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC
NYHBQMYGNKIUIF-UUOKFMHZSA-N,6802,C00387,
OBAAWAYLQLYWNN-KHFVPPDWSA-N,53480895,NA,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO/C=C\CCCCCC/C=C\CCCCCCCC)COP(=O)(O)OCCN
ODHCTXKNWHHXJC-VKHMYHEASA-N,7405,C01879,C1CC(=O)N[C@@H]1C(=O)O
OEJXMJPFOHYSIU-GRLFFVHSSA-N,9544294,NA,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCC/C=C\CCCCCCCC
OIRDTQYFTABQOQ-KQYNXXCUSA-N,60961,C00212,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
OOWQBDFWEXAXPB-UHFFFAOYSA-N,72733,C13859,CCCCCCCCCCCCCCCCOCC(CO)O
OROZWUJCDDCYAU-IPUAOQJZSA-N,52922204,NA,CCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC
OUYCCCASQSFEME-QMMMGPOBSA-N,6057,C00082,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
OYHQOLUKZRVURQ-HZJYTTRNSA-N,5280450,C01595,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
PDIGSOAOQOXRDU-WJPZTBRDSA-N,11757087,C04230,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
PEDCQBHIVMGVHV-UHFFFAOYSA-N,753,C00116,C(C(CO)O)O
PFNFFQXMRSDOHW-UHFFFAOYSA-N,1103,C00750,C(CCNCCCN)CNCCCN
PLZBTDKJYHXIEW-DZUXOTHRSA-N,52923295,C00157,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C
POULHZVOKOAJMA-UHFFFAOYSA-N,3893,C02679,CCCCCCCCCCCC(=O)O
PVNIIMVLHYAWGP-UHFFFAOYSA-N,938,C00253,C1=CC(=CN=C1)C(=O)O
QAOWNCQODCNURD-UHFFFAOYSA-N,1118,C00059,OS(=O)(=O)O
QCGUXAIDEOWPBV-SNKLRXETSA-N,53481719,C00157,CCCCCCCCCCCCCCCC(=O)O[C@H](COCCCCCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C
QEFRNWWLZKMPFJ-YGVKFDHGSA-N,158980,C02989,CS(=O)CC[C@@H](C(=O)O)N
QFVHCMLUKNHDSH-WTWBAFHPSA-N,24778657,NA,CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC
QHZLMUACJMDIAE-UHFFFAOYSA-N,14900,C01885,CCCCCCCCCCCCCCCC(=O)OCC(CO)O
QIBZFHLFHCIUOT-NPBIGWJUSA-N,6443788,C00157,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC
QIQXTHQIDYTFRH-UHFFFAOYSA-N,5281,C01530,CCCCCCCCCCCCCCCCCC(=O)O
QIVBCDIJIAJPQS-VIFPVBQESA-N,6305,C00078,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
QMCWOGICYCFNBF-BWHZRABLSA-N,52922637,C00157,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C
QNAYBMKLOCPYGJ-REOHCLBHSA-N,5950,C00041,C[C@@H](C(=O)O)N
QQVDJLLNRSOCEL-UHFFFAOYSA-N,339,C03557,C(CP(=O)(O)O)N
QRPUCJXFPYFTMB-FBFLODOBSA-N,52922853,C00157,CCCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C
QSBYPNXLFMSGKH-CMDGGOBGSA-N,5312440,C16536,CCCCCCC/C=C/CCCCCCCC(=O)O
QYIXCDOBOSTCEI-FBVYSKEZSA-N,66066,C12978,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C
QZZGJDVWLFXDLK-UHFFFAOYSA-N,11197,C08320,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O
RBNPOMFGQQGHHO-UWTATZPHSA-N,439194,C00258,C([C@H](C(=O)O)O)O
RFSUNEUAIZKAJO-ARQDHWQXSA-N,439709,C02336,C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)O
RFVFQQWKPSOBED-PSXMRANNSA-N,129657,C00157,CCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C
RGHNJXZEOKUKBD-MGCNEYSASA-N,128869,C00880,C([C@H]([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O
RGHNJXZEOKUKBD-QTBDOELSSA-N,6857417,C00800,C([C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O
RHGKLRLOHDJJDR-BYPYZUCNSA-N,9750,C00327,C(C[C@@H](C(=O)O)N)CNC(=O)N
RJZVWDTYEWCUAR-JOCHJYFZSA-N,24779458,NA,CCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
RLLOITCRNQRGJD-DFAKUSJGSA-N,52925061,NA,CCCCCCCCCCCCCC/C=C\OC[C@H](COP(=O)(O)OCCN)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC
ROHFNLRQFUQHCH-YFKPBYRVSA-N,6106,C00123,CC(C)C[C@@H](C(=O)O)N
RWQNBRDOKXIBIV-UHFFFAOYSA-N,1135,C00178,CC1=CNC(=O)NC1=O
RWVKPDIHPPTVRQ-HWGQMOSASA-N,53480747,C00157,CCCCCC/C=C\CCCCCCCC/C=C\OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC/C=C\C/C=C\C/C=C\CCCCC
SECPZKHBENQXJG-FPLPWBNLSA-N,445638,C08362,CCCCCC/C=C\CCCCCCCC(=O)O
SHZGCJCMOBCMKK-FPRJBGLDSA-N,439650,C02095,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O
SIMZOWLEIOYZJX-VRCXRDLJSA-N,53479127,C00157,CCCCCCCC/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C
