analyte,Chisq_overall,Chi Df_overall,Pr(>Chisq)_overall,DO_DenDF,DO_meansq,DO_NumDF,DO_p.value,DO_statistic,DO_sumsq,pH_DenDF,pH_meansq,pH_NumDF,pH_p.value,pH_statistic,pH_sumsq,pH:DO_DenDF,pH:DO_meansq,pH:DO_NumDF,pH:DO_p.value,pH:DO_statistic,pH:DO_sumsq,VIP_PLSDA_VIP_comp6AVG
X17245,3.7829839836406336,3,0.28587159255403954,55.00000000149513,109300266.70008357,1,0.2680385923632494,1.2519754376635894,109300266.70008357,55.00000000049067,101588793.97025892,1,0.28541918382327447,1.16364468845833,101588793.97025892,55.00000000149509,103373464.10827067,1,0.2812709501003877,1.1840871196122578,103373464.10827067,1.18686817644523
X1725,2.441259274128697,3,0.4860004356226545,7.392192995788584,29268364.885728437,1,0.4661513636536275,0.5902553019685608,29268364.885728437,7.392192996162107,34347777.94587645,1,0.4313137188876839,0.6926918576609031,34347777.94587645,7.39219299515278,25038520.832487904,1,0.4991329433384579,0.5049520098757789,25038520.832487904,1.015291433955343
X17250,0.654859997653034,3,0.8837663757591719,55.000000001011166,25605.267251461893,1,0.619790977617033,0.24897032532939242,25605.267251461893,55.000000000046654,14.249707602341672,1,0.9906509387197779,1.3855564571001183e-4,14.249707602341672,55.0000000001825,36425.744444444565,1,0.5541960338103731,0.3541821827374559,36425.744444444565,0.6670933822434194
X172624,1.0956872698448024,3,0.7781152945963956,7.516309091872724,39012089.0731168,1,0.46290815561456444,0.5981583826808715,39012089.0731168,7.516309091951086,772366.4875475414,1,0.9161916967448333,0.01184241859395079,772366.4875475414,7.516309091243627,13402846.447455533,1,0.6631160438548255,0.20550104197969218,13402846.447455533,0.8799877477907405
X17434,4.980057058268699,3,0.17326330264960665,8.855765426911619,249929.2952113886,1,0.12442717682174705,2.8806749481389518,249929.2952113886,8.855765427665277,33863.65676639747,1,0.5478924345243434,0.39031113826344355,33863.65676639747,8.85576542947875,78366.50910603601,1,0.36712676329049576,0.9032492143985138,78366.50910603601,1.2451989059418196
X17651,2.8181590094382045,3,0.42051933822687465,7.0613816492698,234945.86795228504,1,0.2642920803939416,1.470358119191501,234945.86795228504,7.061381649074257,21339.332169970192,1,0.7254830672801782,0.1335476149791759,21339.332169970192,7.061381649368638,52952.930635984405,1,0.5827114834460293,0.3313945130178519,52952.930635984405,1.123580776265368
X1789,2.4796531079041415,3,0.47897944751421445,6.277737427168847,31216.812491107652,1,0.892623818806602,0.019755636170654525,31216.812491107652,6.277737427793745,2401093.2622568607,1,0.2618492250620622,1.5195377463496238,2401093.2622568607,6.277737427362788,186625.97518602796,1,0.7423163616811257,0.11810670505898108,186625.97518602796,1.3979390201215878
X17909,1.53168306441421,3,0.6749774361265475,5.566632746724521,92423.1759438912,1,0.4391368435161395,0.6938139152934464,92423.1759438912,5.566632751747558,93880.23559155212,1,0.43575316202858416,0.7047519538171759,93880.23559155212,5.566632751773038,869.6575950929849,1,0.9384277341406468,0.006528454955740217,869.6575950929849,0.5171133299564773
X1815,3.6533889380001483,3,0.301406180061595,5.936881390570124,2983.7501181944963,1,0.9487590285137608,0.004492856856175042,2983.7501181944963,5.93688138992088,33919.42704791153,1,0.8287823088432118,0.05107503119663206,33919.42704791153,5.936881390218838,1663037.852018113,1,0.1651560399800667,2.504161112539634,1663037.852018113,0.4111264993762941
X18167,2.052112787963324,3,0.5616612510209255,6.293760480944375,471956.935090814,1,0.9029931718372689,0.016098326817630598,471956.935090814,6.2937604781664165,5642171.164737512,1,0.6755434054644027,0.1924529731795943,5642171.164737512,6.2937604781548355,47536338.9988511,1,0.2478972116728699,1.6214520097473157,47536338.9988511,0.8291550016599106
X18168,0.79863594045014,3,0.8497932705812923,7.769853465752264,2803.4136908884725,1,0.5246224774440513,0.4436971109154366,2803.4136908884725,7.769853465904491,53.553427073315646,1,0.9289758990467764,0.008475916683035125,53.553427073315646,7.769853466120169,649.3119698096252,1,0.7569857068195491,0.10276679678910909,649.3119698096252,0.6506249008749132
X18225,4.820561854181051,3,0.1854179981565232,6.674723507409473,12481005.514788015,1,0.24735969409219355,1.6068708236500566,12481005.514788015,6.674723507104478,7335439.726701679,1,0.3650374893827215,0.944403402555557,7335439.726701679,6.674723507083584,7045194.77513177,1,0.37410638802268603,0.9070357286260153,7045194.77513177,1.7953242524211195
X18282,5.396235118217419,3,0.1449783243781228,54.99999999980586,651607603.2751877,1,0.6671576872335185,0.18695029216636816,651607603.2751877,55.00000000047541,1762746606.8775225,1,0.4799927596496335,0.5057430139160802,1762746606.8775225,54.99999999980994,16268461539.986288,1,0.03511151910847451,4.667523249745315,16268461539.986288,0.8424756298328683
X18305,10.258776823226867,3,0.016489795542759707,54.999999999360895,310697.4315789472,1,0.13333598106902628,2.321385708601166,310697.4315789472,54.999999999360895,598150.9988304087,1,0.03906182110789974,4.469104148090135,598150.9988304087,54.99999999936085,468322.1707602343,1,0.06672728674833713,3.4990839438196,468322.1707602343,1.7015634362612213
X183063,0.7581274214890072,3,0.8594538993350026,7.912834236835985,1734827.275573715,1,0.9307043806726437,0.0080577695162756,1734827.275573715,7.9128342367183535,73298527.20546578,1,0.5758182240137211,0.34045039896480667,73298527.20546578,7.912834237436481,29521769.8113134,1,0.7208765413175704,0.13712005811843056,29521769.8113134,0.8629144150980068
X183134,4.633444297256801,3,0.200691764677226,7.322617049780822,5746990.216503521,1,0.20081338834628024,1.9758138983439408,5746990.216503521,7.322617048142044,2221310.147844072,1,0.4099200991506642,0.7636859116341009,2221310.147844072,7.3226170460137245,4029388.058227944,1,0.276037287111815,1.3853026762435585,4029388.058227944,1.2584712883453726
X183174,4.622825900490852,3,0.20159268322318324,4.014829451266274,5509313.2912538685,1,0.2361231566455641,1.9372004447504259,5509313.2912538685,4.014829455427059,2375688.247453171,1,0.4122615593824639,0.8353462738923725,2375688.247453171,4.0148294554203385,4373832.2861635415,1,0.282469503694877,1.537939376849526,4373832.2861635415,1.01237174925661
X183271,0.6398246044161624,3,0.887257929077556,7.690405149766853,2658207.078451146,1,0.6777317539165325,0.18645714684066686,2658207.078451146,7.690405149854016,2028361.5762978764,1,0.7162227898881921,0.1422772948517263,2028361.5762978764,7.6904051503887265,1752253.2098591842,1,0.7353082087562715,0.12290996314821093,1752253.2098591842,0.6173162299546507
X183282,3.919144398164235,3,0.2703284797261553,54.99999999844731,486292.9845446966,1,0.08587231701235809,3.058952614593764,486292.9845446966,54.99999999844179,72599.11787802789,1,0.5020142613865012,0.4566737923602156,72599.11787802789,54.99999999844724,40998.78103592348,1,0.6135995285086637,0.25789664344513746,40998.78103592348,0.4693480864915537
X183433,0.3547771641208328,3,0.9494175468573989,7.093282827721285,1197310.6437287794,1,0.6325234690336328,0.24953353556863775,1197310.6437287794,7.093282827927238,4739.41569490518,1,0.9757938926766595,9.877496379687074e-4,4739.41569490518,7.09328282768396,1930.3044609488522,1,0.9845501665143706,4.0229801629792583e-4,1930.3044609488522,0.8319881153586222
X18386,3.9823058269680587,3,0.26338113074731395,8.469238095883219,150660.63346010353,1,0.29651781701544677,1.237569499955311,150660.63346010353,8.469238097003036,170868.43023791615,1,0.268306767899675,1.4035621177955822,170868.43023791615,8.469238095893045,76788.8157448228,1,0.44875495449515457,0.6307652777037219,76788.8157448228,1.201801803368289
X1872,2.0387116261033498,3,0.5644109626266482,8.632458934162674,174798275.91491255,1,0.5220435776254484,0.44522939283386165,174798275.91491255,8.632458934891883,328660216.4622987,1,0.3850629313986925,0.8371317615019509,328660216.4622987,8.63245893519114,90556919.1833066,1,0.6429719364564774,0.23065789369979123,90556919.1833066,0.9818372525632788
X1875,5.4828128709916655,3,0.13967021954939823,6.774951583601456,20900737.773805507,1,0.0992261038330058,3.645944429889983,20900737.773805507,6.774951584185559,237695.9847067038,1,0.8446257219238648,0.041463911983755306,237695.9847067038,6.774951583281527,2987809.1954162274,1,0.4944878625400394,0.5211962568734936,2987809.1954162274,1.214066983094295
X1878,5.5950766291380205,3,0.13306128946889845,6.775903121530314,18770425.76871554,1,0.07643758033187724,4.362309204291837,18770425.76871554,6.7759031213651255,3074.5760149724083,1,0.9794445145826336,7.14541663288379e-4,3074.5760149724083,6.775903121665243,471960.36128870386,1,0.7505087738186884,0.10968515330867211,471960.36128870386,1.0718611826592448
X1909,3.331792465455237,3,0.3432421812627009,7.859134102076722,51683688.63876019,1,0.17623988906811433,2.208324145548803,51683688.63876019,7.859134101732195,237849.0387097043,1,0.9222252184720878,0.010162737780760916,237849.0387097043,7.859134102081092,8473709.784025276,1,0.5643130307830568,0.3620619659952552,8473709.784025276,1.0115543191098764
X1912,1.7381948114057195,3,0.6284758652364396,7.213766709674521,1343461.5147235158,1,0.33219669038019767,1.080355404171626,1343461.5147235158,7.213766709916956,57830.6374119018,1,0.8352315433299567,0.04650497313836028,57830.6374119018,7.213766709916202,119979.75360602287,1,0.7648752508072314,0.09648268579254603,119979.75360602287,0.8050921524709871
X191804,6.271764564618479,3,0.09911144037354613,5.675433819919686,130692135.97043899,1,0.41042824768771535,0.7891303085385067,130692135.97043899,5.675433623767803,912971308.811099,1,0.05964132741126589,5.512598942998872,912971308.811099,5.675433511635195,2507675.2991371765,1,0.9063076883661392,0.015141558195744172,2507675.2991371765,1.8906057683609143
X1922,2.2509331621511137,3,0.5219859216551159,8.157848637269066,1334668.8281407587,1,0.43637069484211544,0.6698081225389625,1334668.8281407587,8.15784863726821,44828.40113142037,1,0.8844139703702678,0.022497286641576898,44828.40113142037,8.157848638101829,2054887.5451883697,1,0.33903346490929726,1.031252352382176,2054887.5451883697,0.6788877736204125
